step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,19,16,15,15,right,right,0,0
2,18,17,16,16,right,right,0,0
3,17,18,17,17,right,right,0,0
4,16,19,16,17,left,stay,0,0
5,15,20,16,16,stay,left,0,0
6,14,21,15,15,left,left,0,0
7,13,22,14,14,left,left,0,0
8,12,23,13,13,left,left,0,0
9,11,24,12,13,left,stay,0,0
10,10,25,11,12,left,left,0,0
11,9,26,10,11,left,left,0,0
12,8,27,9,10,left,left,0,0
13,7,28,8,9,left,left,0,0
14,6,29,7,8,left,left,0,0
15,17,16,15,15,right,right,0,1
16,18,17,16,16,right,right,0,1
17,19,18,17,17,right,right,0,1
18,20,19,18,18,right,right,0,1
19,21,20,19,19,right,right,0,1
20,22,21,20,20,right,right,0,1
21,23,22,21,21,right,right,0,1
22,24,23,22,22,right,right,0,1
23,25,24,23,23,right,right,0,1
24,26,25,24,24,right,right,0,1
25,27,26,25,25,right,right,0,1
26,28,27,26,26,right,right,0,1
27,29,28,25,27,left,right,0,1
28,28,29,26,28,right,right,0,1
29,4,14,13,13,left,left,0,2
30,5,13,12,12,left,left,0,2
31,6,12,11,11,left,left,0,2
32,7,11,10,10,left,left,0,2
33,8,10,9,9,left,left,0,2
34,9,9,8,8,left,left,0,2
35,10,8,8,8,stay,stay,0,2
36,11,7,9,9,right,right,0,2
37,12,6,10,10,right,right,0,2
38,13,5,11,11,right,right,0,2
39,14,4,12,12,right,right,0,2
40,15,3,13,13,right,right,0,2
41,16,2,14,14,right,right,0,2
42,17,1,15,14,right,stay,0,2
43,18,0,16,15,right,right,0,2
44,28,14,15,15,right,right,1,2
45,29,13,16,16,right,right,1,2
46,28,12,17,16,right,stay,1,2
47,27,11,16,17,left,right,1,2
48,26,10,17,17,right,stay,1,2
49,25,9,18,18,right,right,1,2
50,24,8,19,19,right,right,1,2
51,23,7,20,20,right,right,1,2
52,22,6,21,21,right,right,1,2
53,21,5,22,21,right,stay,1,2
54,20,4,21,21,left,stay,1,2
55,19,3,20,20,left,left,1,2
56,18,2,19,19,left,left,1,2
57,17,1,18,20,left,right,1,2
58,16,0,17,19,left,left,1,2
59,16,16,14,14,stay,stay,2,2
60,17,17,15,15,right,right,2,2
61,18,18,16,16,right,right,2,2
62,19,19,15,17,left,right,2,2
63,20,20,16,18,right,right,2,2
64,21,21,17,19,right,right,2,2
65,22,22,18,20,right,right,2,2
66,23,23,19,21,right,right,2,2
67,24,24,20,22,right,right,2,2
68,25,25,21,23,right,right,2,2
69,26,26,22,24,right,right,2,2
70,27,27,23,25,right,right,2,2
71,28,28,24,26,right,right,2,2
72,29,29,25,27,right,right,2,2
73,27,16,15,15,right,right,2,3
74,28,17,16,16,right,right,2,3
75,29,18,16,17,stay,right,2,3
76,28,19,17,18,right,right,2,3
77,27,20,18,17,right,left,2,3
78,26,21,18,18,stay,right,2,3
79,25,22,19,19,right,right,2,3
80,24,23,20,20,right,right,2,3
81,23,24,21,19,right,left,2,3
82,22,25,22,20,right,right,2,3
83,21,26,23,21,right,right,2,3
84,20,27,22,21,left,stay,2,3
85,19,28,21,20,left,left,2,3
86,18,29,20,19,left,left,2,3
87,14,14,14,14,stay,stay,2,4
88,13,13,14,14,stay,stay,2,4
89,12,12,13,13,left,left,2,4
90,11,11,12,12,left,left,2,4
91,10,10,11,11,left,left,2,4
92,9,9,10,10,left,left,2,4
93,8,8,9,9,left,left,2,4
94,7,7,8,8,left,left,2,4
95,6,6,7,7,left,left,2,4
96,5,5,6,6,left,left,2,4
97,4,4,5,5,left,left,2,4
98,3,3,4,4,left,left,2,4
99,2,2,3,3,left,left,2,4
100,1,1,2,2,left,left,2,4
101,0,0,1,1,left,left,2,4
102,14,14,14,14,stay,stay,3,4
103,13,13,15,14,right,stay,3,4
104,12,12,14,13,left,left,3,4
105,11,11,13,12,left,left,3,4
106,10,10,12,11,left,left,3,4
107,9,9,11,10,left,left,3,4
108,8,8,10,9,left,left,3,4
109,7,7,9,8,left,left,3,4
110,6,6,8,9,left,right,3,4
111,5,5,9,8,right,left,3,4
112,4,4,8,7,left,left,3,4
113,3,3,7,6,left,left,3,4
114,2,2,6,5,left,left,3,4
115,1,1,5,4,left,left,3,4
116,0,0,4,3,left,left,3,4
117,28,14,15,15,right,right,4,4
118,27,13,14,16,left,right,4,4
119,26,12,13,17,left,right,4,4
120,25,11,14,16,right,left,4,4
121,24,10,15,17,right,right,4,4
122,23,9,16,18,right,right,4,4
123,22,8,17,19,right,right,4,4
124,21,7,18,20,right,right,4,4
125,20,6,19,20,right,stay,4,4
126,19,5,19,20,stay,stay,4,4
127,18,4,19,19,stay,left,4,4
128,17,3,20,18,right,left,4,4
129,16,2,19,17,left,left,4,4
130,15,1,18,16,left,left,4,4
131,14,0,17,15,left,left,4,4
